"","landmark","total"
"547","BEAVER COUNTY JAIL, UT",31
"548","BEAVERHEAD COUNTY JAIL MT",9
"549","BECKER COUNTY JAIL, MN",32
"550","BECKHAM COUNTY JAIL",15
"551","BEDFORD COUNTY ADC - BRRJ - VA",9
"552","BEDFORD COUNTY JAIL, TN",111
"553","BEDFORD COUNTY PRISON",5
"554","BEDFORD POLICE DEPARTMENT",51
"555","BEDMINSTER TWP PD",9
"556","BEE COUNTY JAIL, BEEVILLE, TX",23
"557","BELFAST POLICE DEPARTMENT",1
"558","BELKNAP COUNTY DOC",8
"559","BELKNAP COUNTY NH",18
"560","BELL COUNTY DETENTION CTR, KY",5
"561","BELL COUNTY JAIL, BELTON, TEXAS",597
"562","BELL COUNTY JUVENILE CENTER, BELTON, TEXAS",8
"563","BELL FOURCHE, SOUTH DAKOTA",66
"564","BELL POLICE DEPT, BELL, CA",1
"565","BELLAIRE POLICE DEPT, HARRIS COUNTY, TX",2
"566","BELLAIRE POLICE POLICE DEPT, HARRIS CO, TX",4
"567","BELLAMY CREEK CORRECTIONAL FACILITY, IONIA, MI",1
"568","BELLEVILLE PD",44
"569","BELLEVILLE POLICE DEPARTMENT",2
"570","BELLMAWR POLICE DEPARTMENT",2
"571","BELLVILLE, ILLINOIS POLICE DEPARTMENT",1
"572","BELMAR PD",13
"573","BELMONT COUNTY JAIL",9
"574","BELMONT POLICE DEPARTMENT",1
"575","BELTON MISSOURI POLICE DEPARTMENT",32
"576","BELTON, TEXAS",53
"577","BELTRAMI COUNTY JAIL, MN",12
"578","BELVIDERE PD",8
"579","BEN HILL COUNTY JAIL, GA",1
"580","BENBROOK POLICE DEPARTMENT",16
"581","BENEWAH CO. JAIL",3
"582","BENICIA POLICE DEPARTMENT",1
"583","BENSALEM POLICE DEPARTMENT",4
"584","BENT COUNTY JAIL",2
"585","BENTON CO. JAIL",1612
"586","BENTON COUNTY 287G JAIL ENFORCEMENT OFFICER",1
"587","BENTON COUNTY JAIL",227
"588","Benton County Jail 287(g)",1267
"589","BENTON COUNTY JAIL, IA",20
"590","BENTON COUNTY JAIL, MN",48
"591","BENTON COUNTY PROBATION AND PAROLE",6
"592","BENTON HARBOR, MICHIGAN",11
"593","BENZIE COUNTY JAIL, BEULAH, MI",3
"594","BERGEN COUNTY JAIL",1681
"595","BERGEN COUNTY PD",45
"596","BERGEN COUNTY PROSECUTOR REFERRAL",14
"597","BERGENFIELD PD",31
"598","BERKELEY CITY JAIL",7
"599","BERKELEY COUNTY DETENTION CENTER",367
"600","BERKELEY COUNTY, SC",153
"601","BERKELEY POLICE DEPARTMENT",3
"602","BERKELEY POLICE DEPARTMENT, MISSOURI",1
"603","BERKELEY TOWNSHIP POLICE DEPARTMENT",1
"604","BERKELEY, SC",17
"605","BERKLEY HEIGHTS PD",7
"606","BERKS COUNTY PRISON",565
"607","BERKS COUNTY PROBATION",6
"608","BERKSHIRE COUNTY HOC",1
"609","BERKSHIRE COUNTY HOUSE OF CORRECTIONS, PITTSFIELD, MA",2
"610","BERKSHIRE COUNTY LOCAL POLICE DEPT",1
"611","BERLIN BOROUGH POLICE DEPARTMENT",3
"612","BERLIN TOWNSHIP POLICE DEPARTMENT",3
"613","BERNALILLO COUNTY JUVENILE DETENTION CENTER   ABQ",1
"614","BERNALILLO COUNTY SHERIFFS OFFICE",4
"615","BERNARDS TWP PD",20
"616","BERNARDSVILLE PD",14
"617","BERRIEN COUNTY JAIL",1
"618","BERRIEN COUNTY JAIL, ST. JOSEPH, MI",87
"619","BERRIEN COUNTY, GA",3
"620","BERTIE COUNTY JAIL",6
"621","BERWICK POLICE DEPARTMENT - BERWICK, PA",2
"622","BETHANY, CT",1
"623","BETHEL, CT",2
"624","BETHLEHEM POLICE DEPARTMENT",1
"625","BETHLEHEM POLICE DEPARTMENT - BETHLEHEM, PA",3
"626","BEXAR COUNTY JAIL - TX0150000",2193
"627","BHM GENERAL AREA, NON-SPECIFIC",1737
"628","BIBB COUNTY STATE COURT PROBATION",1
"629","BIBB COUNTY, GA",25
"630","BIDDEFORD POLICE DEPARTMENT",30
"631","BIG BEAR JAIL (SBSD) BIG BEAR, CA",5
"632","BIG HORN COUNTY JAIL, BASIN, WYOMING",5
"633","BIG HORN COUNTY, WYOMING",3
"634","BIG MUDDY CORRECTIONAL, ILLINOIS DOC",1
"635","BIG SANDY REGIONAL PAINTSVILLE, KY",4
"636","BIG SKY AREA",1
"637","Big Spring BOP",3291
"638","BIG SPRING FCI",62
"639","BIG SPRING POLICE DEPARTMENT",3
"640","BIGHORN COUNTY JAIL MT",8
"641","BIL GENERAL AREA, NON-SPECIFIC",21
"642","BILL LOGUE JUVENILE DETENTION CENTER, WACO, TEXAS",4
"643","BILLINGS STATE PAROLE AND PROBATION",1
"644","BINGHAM COUNTY JAIL IDAHO",41
"645","BINGHAM COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"646","BINGHAMTON POLICE DEPARTMENT",2
"647","Binghamton Police Police Department",4
"648","BINGHAMTON, ITHACA FUGOPS",11
"649","BKI GENERAL AREA, NON-SPECIFIC",2480
"650","Black River/ Evens Mills Police Department",2
"651","BLACKFORD COUNTY SHERIFF'S OFFICE, INDIANA",2
"652","BLACKHAWK COUNTY JAIL, IA",313
"653","Bladen County Jail",31
"654","Bladen County Probation Elizabethtown, NC",1
"655","Bladen County, NC",1
"656","BLAINE COUNTY JAIL",8
"657","BLAINE COUNTY JAIL ID",72
"658","BLAINE COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"659","BLAIR COUNTY PRISON",10
"660","BLAIRSTOWN PD",3
"661","BLAIRSVILLE PROBATION OFFICE",1
"662","BLANCO COUNTY JAIL - TX0160000",47
"663","BLAND CORRECTIONAL CENTER - VA",2
"664","BLAND CORRECTIONAL CENTER-VA",3
"665","BLECKLEY COUNTY, GA",3
"666","BLEDSOE COUNTY JAIL, TN",6
"667","BLG GENERAL AREA, NON-SPECIFIC",31
"668","BLOOMFIELD HILLS, MICHIGAN",24
"669","BLOOMFIELD PD",96
"670","BLOOMFIELD, CT",1
"671","BLOOMFIELD, CT POLICE DEPARTMENT",1
"672","BLOOMINGDALE PD",16
"673","BLOOMINGTON POLICE DEPARTMENT, MN",139
"674","BLOOMSBURG POLICE DEPARTMENT - BLOOMSBURG, PA",16
"675","BLOUNT COUNTY JAIL, TN",132
"676","BLUE EARTH COUNTY JAIL, MN",115
"677","BLUE MOUND POLICE DEPARTMENT",1
"678","BLUE RIDGE PROBATION OFFICE",1
"679","BLUE RIDGE REGIONAL JAIL - VA",8
"680","BLUE RIDGE REGIONAL JAIL-VA",6
"681","BLUE RIDGE, GA",3
"682","BLYTHE JAIL (RCSD) BLYTHE, CA",1
"683","BNS GENERAL AREA, NON-SPECIFIC",99
"684","BOGART, GA",7
"685","BOGOTA PD",13
"686","BOI GENERAL AREA, NON-SPECIFIC",956
"687","BOISE COUNTY JAIL",3
"688","BOISE ICE OFFICE",25
"689","BOISE U.S. PROBATION OFFICE ID",2
"690","BOLIVAR COUNTY, MS",2
"691","BOND COUNTY SHERIFF'S OFFICE, IL",3
"692","BONNER COUNTY JAIL ID",1
"693","BONNER COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"694","BONNERS FERRY CO. JAIL",11
"695","BONNEVILLE COUNTY JAIL ID",175
"696","BONNEVILLE COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"697","BOONE COUNTY IOWA",5
"698","BOONE COUNTY JAIL",3
"699","BOONE COUNTY JAIL, KY",94
"700","BOONE COUNTY SHERIFF'S OFFICE, IL",1
"701","BOONE COUNTY SHERIFF'S OFFICE, INDIANA",59
"702","BOONE COUNTY SHERIFFS OFFICE MISSOURI",59
"703","BOONE, NC",8
"704","BOONTON PD",9
"705","BOONTON TWP PD",5
"706","BOONVILLE CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",9
"707","Boonville Village Police Department",1
"708","BOOTHBAY HARBOR POLICE DEPARTMENT",2
"709","BOP ARANSAS CO-COM FEDERAL RELEASE SITE, ROCKPORT, TX",64
"710","BOP BROOKLYN",11
"711","BOP FED MED CENTER LEXINGTON, KY",55
"712","BOP FEDERAL CORRECTIONAL INSTITUTION MIAMI",102
"713","BOP FEDERAL DETENTION CENTER MIAMI",514
"714","BOP FEDERAL DETENTION CENTER, HOUSTON, TX",5426
"715","BOP GILES W DALBY",5680
"716","BOP MANHATTAN",4
"717","BOP-FCI THREE RIVERS, LIVE OAK COUNTY, TX",1
"718","BOPFCI WINTON, NC",1438
"719","BORDEN COUNTY",2
"720","BORDENTOWN CITY POLICE DEPARTMENT",2
"721","BORDENTOWN TOWNSHIP POLICE DEPARTMENT",2
"722","BOS GENERAL AREA, NON-SPECIFIC",44
"723","BOSQUE COUNTY JAIL, MERIDIAN, TEXAS",33
"724","Bossier City Detention",8
"725","BOSSIER MEDIUM FACILITY",7
"726","Bossier Parish Maximum",111
"727","BOSTON DISTRICT COURT BRIGHTON",4
"728","BOSTON DISTRICT COURT DOWNTOWN BOSTON",12
"729","BOSTON DISTRICT COURT EAST BOSTON",22
"730","BOSTON DISTRICT COURT ROXBURY",7
"731","BOSTON DISTRICT COURT SOUTH BOSTON",2
"732","BOSTON DISTRICT COURT WEST ROXBURY",1
"733","BOSTON ICE OFFICE - JFK FEDERAL BLDG, BOSTON",51
"734","BOSTON LOGAN AIRPORT",5
"735","BOSTON MUNICIPAL COURT",12
"736","BOSTON PD BACKBAY, SOUTH END, FENWAY, BRIGHTON",15
"737","BOSTON PD DORCHESTER, SOUTH BOSTON",22
"738","BOSTON PD DOWNTOWN,CHINA TOWN, CHARLESTOWN,E.BOS.",58
"739","BOSTON PD N.DORCHESTER,MATTAPAN,ROXBURY, MISSION HILL",31
"740","BOSTON PD WEST ROXBURY, ROSLINDALE, HYDE PARK, JP",18
"741","BOSTON POLICE SECURE COMMUNITIES",33
"742","BOSTON SUPERIOR COURT DOWNTOWN",5
"743","BOTETOURT CORRECTIONAL CENTER - VA",2
"744","BOTETOURT CORRECTIONAL CENTER-VA",3
"745","BOTETOURT COUNTY JAIL  - VA",20
"746","BOTETOURT COUNTY JAIL-VA",36
"747","BOTHELL CITY JAIL",11
"748","BOTTINEAU COUNTY JAIL, ND",2
"749","Boulder County",143
"750","BOULDER COUNTY",30
"751","Boulder County Jail",129
"752","BOULDER COUNTY JAIL",65
"753","Boulder County Probation",13
"754","BOULDER COUNTY PROBATION OFFICE",4
"755","BOUND BROOK PD",50
"756","BOUNDARY CO. JAIL",6
"757","BOUNDARY COUNTY JAIL ID",3
"758","BOURBON COUNTY JAIL, KY",66
"759","BOURBON COUNTY SHERIFFS OFFICE, KANSAS",4
"760","BOWIE COUNTY",1
"761","BOWIE COUNTY ANNEX (BISTATE JAIL)",3
"762","BOWIE COUNTY CRIM AT LARGE",9
"763","BOWIE COUNTY JAIL",4
"764","BOWIE COUNTY JAIL ANNEX (BISTATE JAIL)",34
"765","BOWIE COUNTY NON CRIM",1
"766","BOWIE COUNTY PROBATION",13
"767","BOWIE COUNTY SHERIFFS  OFFICE",30
"768","BOWLING GREEN CAP STREET ARREST",30
"769","BOX BUTTE COUNTY JAIL, NE",3
"770","BOX ELDER COUNTY JAIL - UT",28
"771","BOYD COUNTY DETENTION CTR, KY",2
"772","BOYLE COUNTY DETENTION CTR, KY",15
"773","BOZEMAN AREA",9
"774","BOZEMAN, MT PROBATION&PAROLE",1
"775","BRACKEN COUNTY JAIL, KY",5
"776","BRADFORD COUNTY CORRECTIONAL FACILITY",7
"777","BRADFORD COUNTY PROBATION",1
"778","BRADLEY BEACH PD",13
"779","BRADLEY COUNTY JAIL",1
"780","BRADLEY COUNTY JAIL, TN",74
"781","BRAINTREE POLICE DEPARTMENT",1
"782","BRANCH COUNTY JAIL, COLDWATER, MI",26
"783","BRANCHBURG TWP PD",7
"784","BRANFORD, CT",1
"785","BRANSON POLICE DEPARTMENT, MISSOURI",2
"786","BRANTLEY COUNTY GA",10
"787","BRAZORIA CO JAIL, ANGLETON, TX",58
"788","BRAZORIA CO PROBATION, ANGLETON, TX",1
"789","BRAZORIA COUNTY JAIL, ANGLETON, TX",133
"790","BRAZORIA COUNTY PROBATION, ANGLETON, TX",14
"791","BRAZORIA POLICE DEPT, BRAZORIA, TX",2
"792","BRAZOS CO JAIL, BRYAN, TX",115
"793","BRAZOS COUNTY JAIL, BRYAN, TX",360
"794","BRAZOS COUNTY PROBATION, BRYAN, TX",2
"795","BRECKINRIDGE CO DETENTION CENTER, KY",4
"796","BREMER COUNTY JAIL, IA",33
"797","BRENHAM, TEXAS",6
"798","BRENTWOOD POLICE DEPARTMENT, MISSOURI",4
"799","BREWER POLICE DEPARTMENT",9
"800","BREWSTER COUNTY JAIL",10
"801","BRI GENERAL AREA, NON-SPECIFIC",4
"802","BRICK TOWNSHIP POLICE DEPARTMENT",10
"803","BRIDGEPORT CORRECTIONAL CENTER, BRIDGEPORT, CT",237
"804","BRIDGEPORT POLICE DEPARTMENT",4
"805","BRIDGEPORT, CT",74
"806","BRIDGEPORT, CT POLICE DEPARTMENT",5
"807","BRIDGETON POLICE DEPARTMENT",61
"808","BRIDGETON POLICE DEPARTMENT, MISSOURI",16
"809","BRIDGEWATER STATE HOSPITAL",134
"810","BRIDGEWATER TWP PD",84
"811","BRIELLE PD",11
"812","BRIGANTINE POLICE DEPARTMENT",1
"813","BRIGHTON DISTRICT COURT",3
"814","BRISTOL CITY JAIL - VA",42
"815","BRISTOL CITY JAIL-VA",3
"816","BRISTOL COUNTY HOC",36
"817","BRISTOL COUNTY LOCAL POLICE DEPT",11
"818","BRISTOL, CT",2
"819","BRISTOL, CT POLICE DEPARTMENT",3
"820","BRK AOR FUGITIVE OPERATIONS",336
"821","BRK GENERAL AREA, NON-SPECIFIC",1052
"822","BRO GENERAL AREA, NON-SPECIFIC",19
"823","BROADMOOR POLICE DEPARTMENT",1
"824","BROADWATER COUNTY JAIL MT",2
"825","BROCKTON DISTRICT COURT",13
"826","BROCKTON POLICE DEPT",6
"827","BRONSON, MICHIGAN",3
"828","BROOKINGS CO JAIL, BROOKINGS, SD",56
"829","BROOKLINE DISTRICT COURT",7
"830","BROOKLINE POLICE DEPT",1
"831","BROOKLYN CENTER PD, MN",6
"832","BROOKLYN CORRECTIONAL INSTITUTION, BROOKLYN, CT",10
"833","BROOKLYN PARK PD, MN",24
"834","BROOKS CORRECTIONAL FACILITY, MUSKEGON HEIGHTS, MI",2
"835","BROOKS COUNTY JAIL",4
"836","BROOKS COUNTY JAIL, FALFURRIAS, TX",1091
"837","BROOKS COUNTY JAIL, GA",6
"838","BROOKS COUNTY PROBATION, FALFURRIAS, TX",2
"839","BROOME COUNTY",21
"840","Broome County Jail",35
"841","BROOME COUNTY JAIL",13
"842","Broome County Probation",4
"843","Broome County Sheriff",10
"844","BROOME COUNTY SHERIFF",1
"845","Broomfield County",22
"846","BROOMFIELD COUNTY",7
"847","Broomfield County Jail",16
"848","BROOMFIELD COUNTY JAIL",36
"849","Broomfield County Probation",3
"850","BROOMFIELD COUNTY PROBATION OFFICE",1
"851","BROWARD CORRECTIONAL INSTITUTIONS (FEMALES)",20
"852","BROWARD COUNTY JAIL (CONTE)",68
"853","BROWARD COUNTY JAIL (NORTH BROWARD)",44
"854","BROWARD COUNTY JAIL (SHERIFFS NORTH)",4
"855","BROWARD COUNTY JAIL (STOCKADE)",5
"856","BROWARD COUNTY MAIN JAIL",472
"857","BROWN CO JAIL, ABERDEEN, SD",29
"858","BROWN COUNTY JAIL - BROWNWOOD, TX",15
"859","BROWN COUNTY JAIL BROWNWOOD, TX",4
"860","BROWN COUNTY JAIL, MN",18
"861","BROWN COUNTY SHERIFFS OFFICE KANSAS",3
"862","Brown County, TX At Large",7
"863","Brown County, TX Jail",23
"864","BROWNSTOWN POLICE DEPARTMENT",4
"865","BROWNSVILLE CITY JAIL, TX",486
"866","BRRJ - AMHERST COUNTY DETENTION CENTER-VA",16
"867","BRRJ - BEDFORD ADULT DETENTION CENTER - VA",34
"868","BRRJ - CAMPBELL COUNTY DETENTION CENTER - VA",25
"869","BRRJ-HALIFAX ADULT DETENTION CENTER-VA",3
"870","BRRJ-LYNCHBURG CITY JAIL-VA",38
"871","BRULE CO JAIL, CHAMBERLAIN, SD",5
"872","BRUNSWICK CORRECTIONAL CENTER - VA",1
"873","Brunswick County",2
"874","BRUNSWICK COUNTY FUGITIVE OPERATIONS",4
"875","Brunswick County Jail",171
"876","BRUNSWICK COUNTY JAIL",5
"877","BRUNSWICK COUNTY JAIL - VA",9
"878","BRUNSWICK COUNTY JAIL-VA",3
"879","Brunswick County Probatio Shallotte, NC",2
"880","BRUNSWICK PAROLE",1
"881","BRUNSWICK POLICE DEPARTMENT",1
"882","BRUNSWICK PROBATION OFFICE",1
"883","BRUNSWICK, GA",17
"884","BRYAN COUNTY JAIL",89
"885","BRYAN, TEXAS",32
"886","BSA GENERAL AREA, NON-SPECIFIC",6
"887","BSC GENERAL AREA, NON-SPECIFIC",3926
"888","BSD GENERAL AREA, NON-SPECIFIC",103
"889","BSOGEN GENERAL AREA, NON-SPECIFIC",9
"890","BTN GENERAL AREA, NON-SPECIFIC",125
"891","BUCHANAN COUNTY JAIL, IA",13
"892","BUCHANAN COUNTY SHERIFFS OFFICE MISSOURI",69
"893","BUCHANAN, GA",1
"894","BUCKINGHAM CORRECTIONAL CENTER-VA",2
"895","BUCKLEY CITY JAIL",1
"896","BUCKS COUNTY CORRECTIONAL FACILITY",323
"897","BUCKS COUNTY PROBATION",2
"898","BUFFALO CORRECTIONAL FACILITY",1
"899","BUFFALO COUNTY JAIL, NE",30
"900","BUFFALO FEDERAL DETENTION FACILITY",27
"901","BUFFALO FUGOPS",310
"902","BUFFALO GENERAL - Do Not Use",294
"903","BUFFALO POLICE DEPARTMENT",2
"904","BUFFALO TOWNSHIP POLICE DEPARTMENT - LEWISBURG, PA",1
"905","BUFORD, GA",10
"906","BULLHEAD POLICE DEPARTMENT",1
"907","BULLHEAD POLICE DEPT.",37
"908","BULLITT COUNTY DETENTION CTR, KY",22
"909","BULLOCH COUNTY JAIL",48
"910","BUNCOMBE COUNTY JAIL",46
"911","BUNCOMBE COUNTY JAIL, NC",1
"912","BUNCOMBE COUNTY, NC",17
"913","BUREAU OF PRISONS- FEDERAL CORRECTIONAL INST.",178
"914","BUREAU OF PRISONS- US ADMINISTRATIVE MAXIMUM",7
"915","BUREAU OF PRISONS-US PENITENTIARY",23
"916","BUREAU OF PRISONS, ENGLEWOOD, CO",47
"917","BURKE COUNTY JAIL",36
"918","BURKE COUNTY, NC",2
"919","BURLEIGH COUNTY DETENTION CENTER, ND",1
"920","BURLEIGH COUNTY JAIL, ND",196
"921","BURLESON CO JAIL, CALDWELL, TX",3
"922","BURLESON COUNTY JAIL, CALDWELL, TX",20
"923","BURLESON COUNTY PROBATION, CALDWELL, TX",4
"924","BURLESON POLICE DEPARTMENT",8
"925","BURLINGTON CITY POLICE DEPARTMENT",7
"926","BURLINGTON COUNTY BRIDGE COMMISSION",4
"927","BURLINGTON COUNTY JAIL",43
"928","BURLINGTON COUNTY PROSECUTOR REFERRAL",1
"929","BURLINGTON COUNTY SHERIFF",12
"930","BURLINGTON COUNTY, NEW JERSEY",322
"931","BURLINGTON RESIDENTIAL FACILITY, IA",1
"932","BURLINGTON, NC",12
"933","BURLNGTON TOWNSHIP POLICE DEPARTMENT",4
"934","BURNET COUNTY JAIL, BURNET, TEXAS",278
"935","BUSHNELL, FL PROBATION & PAROLE, FL DOC #052",2
"936","BUTLER COUNTY IOWA",7
"937","BUTLER COUNTY JAIL",6
"938","BUTLER COUNTY JAIL, NE",35
"939","BUTLER COUNTY PRISON",17
"940","BUTLER COUNTY SHERIFFS, EL DORADO, KANSAS",15
"941","BUTLER COUNTY, KY",11
"942","BUTLER PD",6
"943","BUTNER BOP FACILITY",185
"944","BUTNER MEDICAL FACILITY",56
"945","BUTTE AREA",1
"946","BUTTE COUNTY JAIL",65
"947","BUTTE COUNTY PROBATION OFFICE",1
"948","BUTTE COUTNY SHERIFF OFFICE",2
"949","BUTTE SILVERBOW COUNTY JAIL MT",25
"950","BUTTE, MT PROBATION&PAROLE",1
"951","BUTTS COUNTY JAIL",44
"952","BUXTON POLICE DEPARTMENT",2
"953","BYRAM TWP PD",3
"954","BYRON, GA",5
"955","C - BARRON COUNTY GENERAL AREA",1
"956","C - BARRON COUNTY JAIL",2
"957","C - BUFFALO COUNTY JAIL",5
"958","C - BURNETT COUNTY JAIL",1
"959","C - CHIPPEWA COUNTY GENERAL AREA",1
"960","C - CHIPPEWA COUNTY JAIL",6
"961","C - CLARK COUNTY GENERAL AREA",6
"962","C - CLARK COUNTY JAIL",11
"963","C - DUNN COUNTY JAIL",10
"964","C - EAU CLAIRE COUNTY GENERAL AREA",8
"965","C - EAU CLAIRE COUNTY JAIL",20
"966","C - JACKSON COUNTY GENERAL AREA",3
"967","C - JACKSON COUNTY JAIL",3
"968","C - LINCOLN COUNTY JAIL",1
"969","C - MARATHON COUNTY GENERAL AREA",6
"970","C - MARATHON COUNTY JAIL",26
"971","C - ONIEDA COUNTY JAIL",4
"972","C - PEPIN COUNTY JAIL",2
"973","C - PIERCE COUNTY GENERAL AREA",1
"974","C - PIERCE COUNTY JAIL",2
"975","C - POLK COUNTY GENERAL AREA",1
"976","C - POLK COUNTY JAIL",1
"977","C - PORTAGE COUNTY GENERAL AREA",1
"978","C - PORTAGE COUNTY JAIL",9
"979","C - RUSK COUNTY JAIL",1
"980","C - SAWYER COUNTY JAIL",2
"981","C - ST CROIX COUNTY JAIL",5
"982","C - TAYLOR COUNTY GENERAL AREA",5
"983","C - TAYLOR COUNTY JAIL",5
"984","C - TREMPEALEAU COUNTY GENERAL AREA",10
"985","C - TREMPEALEAU COUNTY JAIL",38
"986","C - VILAS COUNTY JAIL",1
"987","C - WI DOC - JACKSON CORRECTIONAL INSTITUTION",3
"988","C - WI DOC - STANLEY CORRECTIONAL INSTITUTION",8
"989","C - WOOD COUNTY GENERAL AREA",3
"990","C - WOOD COUNTY JAIL",6
"991","Cabarrus County Jail 287G",6
"992","CABARRUS COUNTY, NC",28
"993","CABOT POLICE DEPARTMENT",1
"994","CAC GENERAL AREA, NON-SPECIFIC",18
"995","CACHE COUNTY JAIL - UT",146
"996","CADDO COUNTY JAIL",22
"997","Caddo Parish Corrections",5
"998","CADILLAC, MICHIGAN",4
"999","CAIRO, GA",19
"1000","CAL STATE HAYWARD POLICE DEPARTMENT",1
"1001","CALAVERAS COUNTY JAIL",17
"1002","CALCASIEU PARISH JAIL",20
"1003","CALDWELL COUNTY JAIL",21
"1004","CALDWELL COUNTY JAIL, KY",11
"1005","CALDWELL COUNTY JAIL, LOCKHART, TEXAS",134
"1006","CALDWELL COUNTY JAIL, NC",1
"1007","CALDWELL COUNTY SHERIFFS OFFICE MISSOURI",7
"1008","CALDWELL COUNTY, NC",2
"1009","CALDWELL FELONY PROBATION OFFICE ID",1
"1010","CALDWELL PD",6
"1011","CALEXICO BORDER PATROL",18
"1012","CALEXICO WEST PORT OF ENTRY",4
"1013","CALHOUN CO JAIL, PORT LAVACA, TX",7
"1014","CALHOUN COUNTY GA",2
"1015","CALHOUN COUNTY JAIL, ANNISTON, AL",2
"1016","CALHOUN COUNTY JAIL, BATTLE CREEK, MI",48
"1017","CALHOUN COUNTY JAIL, PORT LAVACA, TX",33
"1018","CALHOUN COUNTY PROBATION",1
"1019","CALHOUN COUNTY PROBATION, PORT LAVACA, TX",2
"1020","CALHOUN COUNTY, MS",15
"1021","CALHOUN PROBATION OFFICE",1
"1022","CALHOUN, GA",30
"1023","CALIFON PD",3
"1024","CALIFORNIA CITY FEDERAL CORRECTIONAL INSTITUTION",148
"1025","CALIFORNIA CITY POLICE DEPARTMENT",4
"1026","CALIFORNIA DEPARTMENT OF CORRECTIONS COMMUTE LIST",1
"1027","California Healthcare Facility",58
"1028","CALIFORNIA HIGHWAY PATROL",1
"1029","CALIFORNIA INSTITUTION FOR MEN CHINO, CA",431
"1030","CALIFORNIA INSTITUTION FOR MEN, CHINO, CA",16
"1031","CALIFORNIA INSTITUTION FOR WOMEN CORONA, CA",81
"1032","CALIFORNIA MENS COLONY EAST",56
"1033","CALIFORNIA MENS COLONY WEST",105
"1034","CALIFORNIA REHABILITATION CENTER NORCO, CA",305
"1035","CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY & STATE PRISON",178
"1036","CALIPATRIA STATE PRISON",563
"1037","CALLAHAN COUNTY",3
"1038","Callahan County, TX Jail",4
"1039","CALLAWAY COUNTY SHERIFFS OFFICE MISSOURI",3
"1040","CALLOWAY COUNTY JAIL, KY",17
"1041","CALVERT COUNTY DETENTION CENTER",7
"1042","CALVERT COUNTY MD",1
"1043","CAMBRIA COUNTY PRISON",4
"1044","CAMBRIDGE DISTRICT COURT",6
"1045","CAMBRIDGE POLICE DEPT",10
"1046","CAMBRIDGE, MD GENERAL AREA",6
"1047","CAMDEM COUNTY GA",6
"1048","CAMDEN CITY",4
"1049","CAMDEN CITY POLICE DEPARTMENT",63
"1050","CAMDEN COUNTY GA",22
"1051","CAMDEN COUNTY JAIL",30
"1052","CAMDEN COUNTY JUVINILE FACILITY BLACKWOOD, N.J",2
"1053","CAMDEN COUNTY PROBATION",3
"1054","CAMDEN COUNTY PROSECUTOR (MEGHAN'S LAW)",2
"1055","CAMDEN COUNTY SHERIFF",6
"1056","CAMDEN COUNTY SHERIFFS OFFICE, MISSOURI",4
"1057","CAMDEN COUNTY, NEW JERSEY",389
"1058","CAMDEN POLICE DEPARTMENT",4
"1059","CAMERON COUNTY JAIL - BROWNSVILLE, TX - TX0310000",1
"1060","CAMERON COUNTY JAIL- OLMITO, TX",1479
"1061","CAMERON COUNTY SHERIFF OFFICE, OLMITO, TX",11
"1062","CAMERON POLICE DEPT, MILAM COUNTY, TX",1
"1063","Camillus Town and Village Police Department",1
"1064","CAMP COUNTY CRIM AT LARGE",7
"1065","CAMP COUNTY GENERAL AREA",1
"1066","CAMP COUNTY NON CRIM",2
"1067","CAMP COUNTY PROBATION",4
"1068","CAMP COUNTY SHERIFFS OFFICE",26
"1069","CAMPBELL COUNTY ADC - BRRJ - VA",10
"1070","CAMPBELL COUNTY DETENTION CTR, KY",13
"1071","CAMPBELL COUNTY JAIL, GILLETTE, WYOMING",55
"1072","CAMPBELL COUNTY JAIL, TN",22
"1073","CAMPBELL COUNTY PROBATION OFFICE",1
"1074","CAMPBELL COUNTY, WYOMING",58
"1075","CAMPBELL POLICE DEPARTMENT",2
"1076","CAMPBELL PRE-RELEASE CENTER",1
"1077","CANADIAN COUNTY JAIL",122
"1078","CANDLER COUNTY, GA",1
"1079","CANTON POLICE DEPARTMENT",2
"1080","CANTON PROBATION OFFICE",18
"1081","CANTON TWP POLICE DEPARTMENT",20
"1082","CANTON, GA",90
"1083","CANTON, MICHIGAN",19
"1084","CANYON COUNTY GENERAL AREA ID",24
"1085","CANYON COUNTY JAIL ID",617
"1086","CANYON COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"1087","CANYON COUNTY PROBATION AND PAROLE ID",5
"1088","CANYON COUNTY WORK RELEASE ID",1
"1089","CAP -  HYDE PARK TOWN POLICE DEPARTMENT, NY STATE",6
"1090","CAP - ADIRONDACK CORRECTIONAL FACILITY NY STATE",1
"1091","CAP - ALBANY DEPARTMENT OF MOTOR VEHICLE STATE",13
"1092","CAP - ALBERTVILLE CITY JAIL, AL STATE",142
"1093","CAP - ALCORN COUNTY JAIL MS STATE",20
"1094","CAP - ALEXANDRIA CITY JAIL, AL STATE",13
"1095","CAP - ALEXANDRIA CRIMINAL JUSTICE SERVICES-VA",22
"1096","CAP - ALHAMBRA",48
